"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATAD3A",304.044272570901,-0.863489691852049,0.117805606526161,-7.32978435674274,2.3052335869248e-13,2.04442000344349e-12
"SSU72",863.819395313628,0.267101760646368,0.0983793415862616,2.71501878686763,0.00662720108552032,0.0166520901787733
"FNDC10",34.4718705786271,-1.13603821643042,0.327033459255376,-3.47376754359347,0.000513205437039538,0.00159594049713365
"CDK11B",181.905222639779,-0.347012021175372,0.146953265096044,-2.3613767339472,0.0182072237330574,0.0410602401318266
"SLC35E2B",606.790352711537,-0.37133838379212,0.0921474601775382,-4.02982765967365,5.58177611563478e-05,0.000203087396284786
"SLC35E2A",232.726220021279,-0.639882390137421,0.138835590900613,-4.60892186208568,4.04762404282289e-06,1.74837566816182e-05
"NADK",463.737307098402,-0.319060801890673,0.0966581790848881,-3.30091881423159,0.000963687637600423,0.00285682100957349
"GNB1",5262.42728663366,0.45639315253572,0.0621632997301017,7.3418424459009,2.10673313071625e-13,1.87391104386167e-12
"TMEM52",25.3296269286254,-0.885013996856012,0.381894048632495,-2.3174333300692,0.0204801384882463,0.045502721698519
"SKI",1111.57209206032,0.421584568729063,0.086161922439464,4.89293363927971,9.93439109250095e-07,4.60580555384512e-06
"MORN1",68.0403852592885,-0.888481465468693,0.231587825020709,-3.83647743740087,0.00012481165688309,0.00042969829698715
"PEX10",84.2232204868907,-1.18031087517372,0.22474118808054,-5.25186720446958,1.50565003392656e-07,7.70832933562233e-07
"PLCH2",33.5126043853104,0.855764212075983,0.311684221883714,2.74561287351677,0.00603979868346652,0.015319241671323
"PRXL2B",180.211438193432,-0.557056725595344,0.152171498494067,-3.66071656721619,0.000251510863430217,0.000824386553269541
"MEGF6",481.453066829531,1.52281987415051,0.106544430137699,14.2928154215326,2.42599796212315e-46,9.71531317231586e-45
"WRAP73",271.173659229034,-0.524404990049854,0.120100223523635,-4.36639478815502,1.26314088143285e-05,5.08671772610088e-05
"TP73",303.138291068441,-0.447187969341106,0.120151716515806,-3.72186084650964,0.00019776000243607,0.000659871136199314
"CEP104",544.00701094553,0.497328301939279,0.0962438011265462,5.1673800922032,2.37398171292312e-07,1.19035961181379e-06
"DFFB",103.57880526817,-0.781515588213295,0.196344992715814,-3.9803184048826,6.88230226712484e-05,0.000247190260656273
"CHD5",240.482696603857,0.293398929936737,0.123755143534545,2.37080190412319,0.0177495413746848,0.040123492864174
"ICMT",1307.65435669136,-0.401547651191671,0.0738506287361407,-5.43729495691027,5.40955465492109e-08,2.92310598009994e-07
"ACOT7",736.445094693065,-0.395882974075201,0.0886705585805096,-4.46464960199562,8.01998948194411e-06,3.3263114028565e-05
"ESPN",520.487030749361,0.564795284496544,0.0945387638601348,5.97421905507596,2.31194978550842e-09,1.43568735646614e-08
"TNFRSF25",207.952411384108,1.06235859442838,0.137170365605895,7.74481127709941,9.57239154880199e-15,9.45227770416223e-14
"PLEKHG5",609.4321094576,1.09053824312508,0.0954225397966656,11.4285183086605,3.01204487627739e-30,7.17041753175625e-29
"KLHL21",706.737564154935,0.722076812503016,0.0909435735732525,7.9398332848819,2.02453185013944e-15,2.09678669375648e-14
"PHF13",554.600077021657,0.277639676721539,0.0933752865518409,2.97337429392944,0.00294545028576901,0.00795801493251025
"VAMP3",1271.83684049856,0.49453157074334,0.0785983664566512,6.29188102803746,3.13641835947827e-10,2.10351303521243e-09
"TNFRSF9",63.3344450500406,0.669523608463089,0.230942084183405,2.89909745480335,0.00374238553236487,0.00988888290020974
"PARK7",1233.46615633962,-0.387053814277641,0.0829989826420368,-4.66335612747148,3.1109370330811e-06,1.36371190156056e-05
"ERRFI1",16512.7463532778,2.28587237200846,0.0583711994048099,39.1609628603947,0,0
"SLC45A1",124.653258769168,1.55378835451455,0.17680172845223,8.78830975305972,1.51826876128862e-18,1.94599725086644e-17
"ENO1",25171.5154444929,1.14350377793769,0.0702676954019745,16.2735346790035,1.52117410376852e-59,8.06267015412131e-58
"H6PD",461.789091144505,0.35715134763483,0.097110314367824,3.67779004691562,0.000235263482063035,0.000775362693902331
"SPSB1",224.622878480986,0.683331919170831,0.132808058223445,5.14525946927973,2.67151300975805e-07,1.33176586303872e-06
"TMEM201",260.33763944684,-0.97205076342863,0.129924646547823,-7.48165024309558,7.33950659815155e-14,6.76548585193294e-13
"CLSTN1",2548.31792184848,0.519277761493117,0.0616242968257196,8.42651013060145,3.56126995213707e-17,4.15120606775305e-16
"LZIC",602.649967707623,0.381167200456259,0.0877453784961832,4.34401454514027,1.39902246214404e-05,5.6113473826614e-05
"UBE4B",1084.70452769719,-0.181985426403676,0.0794295178565969,-2.29115612576466,0.021954385478076,0.0483549230873147
"KIF1B",2203.68715836763,0.430380534195116,0.0681003188055219,6.31980204709731,2.6189857031737e-10,1.7776550416909e-09
"CENPS",26.6314050098894,-0.894106167102665,0.365066244538897,-2.44916143433634,0.0143189255147732,0.0331928681118766
"DFFA",1186.58119217106,-0.292779540342674,0.073698118511227,-3.9726867694468,7.10664743875129e-05,0.000254610126230093
"TARDBP",1590.49825369784,-1.09406920337766,0.0772942048660714,-14.1546084246985,1.74909297891181e-45,6.83739795509105e-44
"SRM",493.50382367511,-0.641606228463924,0.101769911654191,-6.30447858345472,2.89165702434087e-10,1.95316908679336e-09
"MTOR",1373.17787256891,-0.544819460149022,0.0684879569536256,-7.95496733123356,1.79178781433366e-15,1.86001199320892e-14
"UBIAD1",181.106713946676,-1.2223937183476,0.151680552143669,-8.05900097983404,7.69204821326145e-16,8.20712852878536e-15
"FBXO6",148.445221683008,0.606292142090632,0.16822299877091,3.60409781373769,0.000313239083074917,0.00101144624907599
"MAD2L2",374.277561402464,-0.445666846627731,0.111739051139129,-3.98846099089226,6.65033357961194e-05,0.000239451871005368
